Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
SPI1,HCZZ0015-6,CONN-SMD_6P-P1.25_HCZZ0015-6,11.684,42.768,0.0,top
SW_ON1,0Ω,R0805,10.559996,-51.499997,0.0,top
SW_OUT1,0Ω,R0805,-18.079998,-47.289999,180.0,top
U1,ESP32-C3FH4,QFN-32_L5.0-W5.0-P0.50-TL-EP3.7,22.99,13.547497,-90.0,top
U2,MT3608B,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,21.539974,-41.080014,-90.0,top
U3,MT3410LB-N,SOT-23-5_L3.0-W1.5-P0.95-LS2.8-BL,-3.750022,-49.490006,-90.0,top
U4,TP4054,SOT-23-5_L2.9-W1.6-P0.95-LS2.8-BR,-49.93,-11.41,90.0,top
U5,AW9523BTQR,VFQFPN-24_L4.0-W4.0-P0.50-BL-EP2.8,-17.367722,14.19,90.0,top
U6,DW01A,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,-43.609003,-17.120007,180.0,top
U8,TSC2007IPWR,TSSOP-16_L5.0-W4.4-P0.65-LS6.4-BL,-17.67,6.063374,90.0,top
U9,RT9080-33GJ5-MS,SOT-23-5_L2.9-W1.6-P0.95-LS2.8-BR,-12.37,-41.09,0.0,top
USBC1,TYPE-C 16PIN 2MD(073),USB-C-SMD_TYPE-C-6PIN-2MD-073,25.017,45.537206,150.0,top
WiFi1,BWU.FL-IPEX1,IPEX-SMD_BWIPX-1-001E,37.555,10.755,0.0,top
X1,40MHz,CRYSTAL-SMD_4P-L3.2-W2.5-BL,29.63,8.249999,180.0,top
